03-12-2021,Shubhajit,Gautam R. Desiraju
10-12-2021,Ruben,Katarzyna Pernal
17-12-2021,Simone,Lee Cronin / The Grinch
21-01-2022,Raimon,Jure Leskovec
04-02-2022,Frederic,Adrian Roitberg
11-02-2022,Terry,Linda Nazar
18-02-2022,Alex,Eric Jacobsen
04-03-2022,Yannick,Michele Ceriotti
18-03-2022,Yuri,John R. Kitchin
25-03-2022,Juliette,Heather Kulik
01-04-2022,Ksenia,Arieh Warshel
08-04-2022,Veronika,Reinhard Maurer
29-04-2022,Matt,Matthew Sigman / Abby Doyle / Sarah Reisman / Corinna Schindler / Karl Gademann / Clement Mazet
06-05-2022,Alberto,Max Welling
13-05-2022,Raimon,Kilian Q. Weinberger
20-05-2022,Shubhajit,Giulia Galli / Mark E. Tuckerman / Carme Rovira / Ari Paavo Seitsonen / Davide Donadio / Pratyush Tiwari
27-05-2022,Simone,Alison Wendlandt / Polly Arnold / Jennifer Petter
30-05-2022,Terry,Doug Stephan / Gregory Welch
07-06-2022,Ruben,Katharina Boguslawski
15-06-2022,Frederic,Lynn Kamerlin
24-06-2022,Puck,Esther Heid
07-09-2022,Veronika,Boris Kozinsky
12-09-2022,Marc,Vladimiro Mujica
21-09-2022,Alex,Franziska Schoenebeck
03-10-2022,Ksenia,Renana Gershoni Poranne
10-10-2022,Yuri,Pascal Friederich
17-10-2022,Veronika,Nicola Ann Spaldin
24-10-2022,Juliette,Tobias Gensch
31-10-2022,Frederic,David Mazziotti
21-11-2022,Simone,Anat Milo
05-12-2022,Shubhajit,Raghunathan Ramakrishnan
12-12-2022,Puck,Connor W. Coley
27-01-2023,Frederic,John Parkhill
03-02-2023,Ruben,Rocio Mercado
10-02-2023,Terry,Edward H. Sargent
23-02-2023,Alex,Catherine Housecroft & Ed Constable
17-03-2023,Matt,Peter R. Schreiner
24-03-2023,Matthew,Ben Feringa
31-03-2023,Ksenia,Xiaosong Li
06-04-2023,Yannick,Perdew
21-04-2023,Juliette,Evgeny Pidko
28-04-2023,Yuri,Julia Westermayr
05-05-2023,Marc,Loïc Roch
12-05-2023,Shubhajit,Michael Levitt
23-05-2023,Ruben,Sharon Glotzer
02-06-2023,Simone,Robert S. Paton
23-06-2023,Osvaldo,Joaquin Barroso-Flores
12-10-2023,Alex,Marisa Kozlowski
26-10-2023,Sara,Dirac
02-11-2023,Juliette,Jean-Louis Reymond
16-11-2023,Frederic,Franz Saija
23-11-2023,Yuri,Jacqueline Cole
07-12-2023,Simone,Fransisco Dean Toste
14-12-2023,Liam,Weitao Yang
26-01-2024,Puck,Hannes Stärk
02-02-2024,Juliette,Ramón Alain Miranda Quintana
09-02-2024,Ksenia,Johann Gasteiger & Johannes Gasteiger & Michael Gastegger
16-02-2024,Yannick,Mario Geiger
21-02-2024,Ruben,Esther Heid
28-02-2024,Jan,Klaus-Robert Müller
06-03-2024,Osvaldo,Huziel E. Sauceda
13-03-2024,Alex,Frank Glorius
