01-02-2018,Raimon,Vladimir Fock,fock.jpg
18-06-2021,Ruben,Charlotte Froese Fischer,Charlotte_Froese_Fischer.jpg
21-02-2024,Ruben,Esther Heid,heid.jpg
03-09-2021,Ruben,Eunji Sim,eunji_sim.jpg
10-12-2021,Ruben,Katarzyna Pernal,pernal.png
07-06-2022,Ruben,Katharina Boguslawski,boguslawski.jpg
03-02-2023,Ruben,Rocio Mercado,mercado.jpg
23-05-2023,Ruben,Sharon Glotzer,GlotzerS_350x350-e1672933497203.jpg
20-11-2020,Ruben,Sigrid Peyerimhoff,Peyerimhoff.jpeg
26-10-2023,Sara,Dirac,dirac.jpg
17-12-2019,Sergi,Dr. Who,who.jpg
19-04-2019,Sergi,Emmett Brown,Doc_Brown.jpeg
12-06-2020,Sergi,Mike Robb,robb.jpg
11-10-2018,Sergi,Richard Feynman,Richard_Feynman_Nobel.jpg
11-12-2020,Sergi,Rosa Caballol Lorenzo,rosa_caballol.jpeg
17-09-2021,Sergi,Stefano Sanvito,Stefano-Sanvito-365x365.jpg
15-10-2020,Shubhajit,Angelos Michaelides,michaelides.jpg
26-03-2021,Shubhajit,C. N. R. Rao,Chintamani_Nagesa_Ramachandra_Rao_03650.JPG
03-12-2021,Shubhajit,Gautam Desiraju,Gautam_Desiraju.jpg
19-09-2019,Shubhajit,Michael Kasha,kasha.jpg
12-05-2023,Shubhajit,Michael Levitt,levitt.jpg
05-12-2022,Shubhajit,Raghunathan Ramakrishnan,ramakrishnan.jpg
21-11-2022,Simone,Anat Milo,anat_milo.jpg
07-12-2023,Simone,Fransisco Dean Toste,toste-300x400.jpg
12-03-2021,Simone,Judy I-Chia Wu,judy_wu.jpg
17-12-2021,Simone,Lee Cronin,Dr._Leroy_Cronin_portrait.jpg
17-12-2021,Simone,The Grinch,The_Grinch_book.png
09-10-2020,Simone,Lesley Yellowlees,Lesley_Yellowlees.jpg
01-05-2020,Simone,Matthew Sigman,sigman.jpeg
17-10-2019,Simone,Odile Eisenstein,P186505-Odile-Eisenstein.jpg
02-06-2023,Simone,Robert Paton,Rob-Paton.jpg
14-05-2021,Terry,Donna Strickland,Donna_Strickland.jpg
30-05-2022,Terry,Doug Stephan,Doug_Stephan.jpg
30-05-2022,Terry,Gregory Welch,gregory-welch.jpg
10-02-2023,Terry,Edward H. Sargent,sargent.jpg
12-02-2021,Terry,Jillian Buriak,buriak.jpeg
04-07-2019,Terry,John Polanyi,John_Polanyi.jpg
11-02-2022,Terry,Linda Nazar,lfnazar.png
28-02-2020,Terry,Steve Westcott,westcott.jpeg
28-08-2020,Terry,Zhores Alferov,330px-Zhores_Alfyorov_2012.jpg
15-02-2018,Veronika,Anna Krylov,Anna_Krylov.jpg
07-09-2022,Veronika,Boris Kozinsky,kozinsky.jpg
29-03-2019,Veronika,David Glowacki,glowacki.jpg
08-10-2021,Veronika,Fang Liu,fang_liu.jpg
